NAMELSAD,Value
Achugao village,0.01
Afatung village,0.01
Afetnas village,0.01
Agatasi (Payapai) village,0.01
Agingan village,0.01
Agrihan village,0.01
Aguijan village,0.01
Agusan village,0.01
Alaguan village,0.01
Alamagan village,0.01
American Memorial Park village,0.01
Anatahan village,0.01
Annex F village,0.01
Apanon village,0.01
As Akina village,0.01
As Akoddo village,0.01
As Dudo village,0.01
As Falipe village,0.01
As Gonna village,0.01
As Lito village,0.01
As Mahetog village,0.01
As Matuis village,0.01
As Niebes (Nieves) village,0.01
As Palacios village,0.01
As Perdido village,0.01
As Rabagau village,0.01
As Teo village,0.01
As Terlaje village,0.01
Asuncion village,0.01
Banaderu village,0.01
Bird Island village,0.01
Capitol Hill village,0.01
Carolinas Heights village,0.01
Carolinas village,0.01
Chacha village,0.01
Chalan Galaide village,0.01
Chalan Kanoa I village,0.01
Chalan Kanoa II village,0.01
Chalan Kanoa III village,0.01
Chalan Kanoa IV village,0.01
Chalan Kiya village,0.01
Chalan Laulau village,0.01
Chalan Piao village,0.01
Chalan Rueda village,0.01
China Town village,0.01
Dagu village,0.01
Dandan village,0.01
Duge village,0.01
Eastern Tinian (Marpo Valley) village,0.01
Fananganan village,0.01
Fanlagon village,0.01
Fanonchuluyan village,0.01
Farallon de Medinilla village,0.01
Finasisu village,0.01
Finata village,0.01
Forbidden Island village,0.01
Gagani village,0.01
Gampapa village,0.01
Gaonan village,0.01
Garapan village,0.01
Gayaugan (Kaan) village,0.01
Ginalangan (Chudan) village,0.01
Gualo Rai village,0.01
Guguan village,0.01
Hilaihai village,0.01
I Akgak village,0.01
I Chenchon village,0.01
I Denni village,0.01
I Fadang village,0.01
I Koridot village,0.01
I Liyang village,0.01
I Maddok village,0.01
I Naftan village,0.01
I Pitot village,0.01
Kagman I village,0.01
Kagman II village,0.01
Kagman III village,0.01
Kagman IV village,0.01
Kagman village,0.01
Kalabera village,0.01
Kannat Tabla village,0.01
Koblerville village,0.01
Laulau Bay village,0.01
Lempanai village,0.01
Liyu village,0.01
Lower Base village,0.01
Makmak village,0.01
Managaha village,0.01
Mananana village,0.01
Marpi village,0.01
Marpo Heights village,0.01
Matansa village,0.01
Matpo village,0.01
Maturana Hill village,0.01
Maug village,0.01
Mochong village,0.01
Mount Sabana (Minachage) village,0.01
Mount Taipingot village,0.01
Nanasu village,0.01
Navy Hill village,0.01
Northern Tinian village,0.01
Opyan village,0.01
Pagan village,0.01
Papago village,0.01
Pekngasu village,0.01
Pidos Kahalo village,0.01
Puerto Rico village,0.01
Sabaneta village,0.01
Sadog Tasi village,0.01
Sailigai Papa village,0.01
San Antonio village,0.01
San Jose (Oleai) village,0.01
San Jose (Tinian Municipality) village,0.01
San Roque village,0.01
San Vicente village,0.01
Sarigan village,0.01
Sayan Gigani village,0.01
Sinapalo village,0.01
Songsong village,0.01
Susupe village,0.01
Tagolo Ogso village,0.01
Taimama village,0.01
Talafofo village,0.01
Talakhaya village,0.01
Talo village,0.01
Tanapag village,0.01
Tangke village,0.01
Tapochao village,0.01
Tatachok village,0.01
Tatgua village,0.01
Tenetu village,0.01
Tottotville village,0.01
Ugis village,0.01
Uracus (Farallon de Pajaros) village,0.01
Western Tinian village,0.01
